"Source","Destination","Relation"
"Adnovum","IT Services and IT Consulting","""type of company"""
"ADVA","Computer Games","""type of company"""
"Advantage","Staffing and Recruiting","""type of company"""
"AdvantMed","Hospitals and Health Care","""type of company"""
"Advertisement","Advertising Services","""type of company"""
"AdviCare","Financial Services","""type of company"""
"AEC","IT Services and IT Consulting","""type of company"""
"Aegis","Business Consulting and Services","""type of company"""
"AEIC","Business Consulting and Services","""type of company"""
"AEPL","IT Services and IT Consulting","""type of company"""
"Aequor","Education Administration Programs","""type of company"""
"aero","Aviation and Aerospace Component Manufacturing","""type of company"""
"AEW","Sutton Coldfield","""type of company"""
"Affinion","Advertising Services","""type of company"""
"Affle","Technology, Information and Internet","""type of company"""
"Affluent","Technology, Information and Internet","""type of company"""
"Afras","Design Services","""type of company"""
"AFTEK","Outsourcing and Offshoring Consulting","""type of company"""
"Ageas","Insurance","""type of company"""
"AgileNova","IT Services and IT Consulting","""type of company"""
"Agilent","Technology, Information and Internet","""type of company"""
"AgilePoint","Software Development","""type of company"""
"AGILITY","Transportation, Logistics, Supply Chain and Storage","""type of company"""
"Agilon","Software Development","""type of company"""
"AGL","Utilities","""type of company"""
"Agriot","Wireless Services","""type of company"""
"Ahead","Human Resources Services","""type of company"""
"Aheadworks","IT Services and IT Consulting","""type of company"""
"AHQ","Retail","""type of company"""
"AIA","Insurance","""type of company"""
"AIC","IT Services and IT Consulting","""type of company"""
"AIKON","IT Services and IT Consulting","""type of company"""
"Aimbeyond","IT Services and IT Consulting","""type of company"""
"AINS","IT Services and IT Consulting","""type of company"""
"Aiolos","Heist-op-den-Berg","""type of company"""
"AirAsia","Airlines and Aviation","""type of company"""
"AirBnb","Technology, Information and Internet","""type of company"""
"Airbus","Aviation and Aerospace Component Manufacturing","""type of company"""
"Aircel","Telecommunications","""type of company"""
"AIS","IT Services and IT Consulting","""type of company"""
"AISPs","Medical Practices","""type of company"""
"AISS","Non-profit Organizations","""type of company"""
"Aithent","Software Development","""type of company"""
"Ajani","Restaurants","""type of company"""
"Akal","IT Services and IT Consulting","""type of company"""
"Akari","Manufacturing","""type of company"""
"Akums","Pharmaceutical Manufacturing","""type of company"""
"Alacer","Manufacturing","""type of company"""
"ALB","IT Services and IT Consulting","""type of company"""
"Albatross","IT Services and IT Consulting","""type of company"""
"Alchemy","Advertising Services","""type of company"""
"Alcon","Medical Equipment Manufacturing","""type of company"""
"Alepo","Telecommunications","""type of company"""
"Alexion","Real Estate","""type of company"""
"ALFA","Telecommunications","""type of company"""
"AlgoAnalytics","IT Services and IT Consulting","""type of company"""
"Algoanalytics","IT Services and IT Consulting","""type of company"""
"Algoworks","IT Services and IT Consulting","""type of company"""
"Alicon","IT Services and IT Consulting","""type of company"""
"Alight","Software Development","""type of company"""
"Alivenet","Advertising Services","""type of company"""
"alivenetsolution","IT Services and IT Consulting","""type of company"""
"allaboutlaptops","Peckham","""type of company"""
"Allconnect","Technology, Information and Internet","""type of company"""
"Allscripts","Software Development","""type of company"""
"AllState","Insurance","""type of company"""
"Almana","Wavre","""type of company"""
"Alphawest","IT Services and IT Consulting","""type of company"""
"ALT","Graphic Design","""type of company"""
"Alteryx","IT Services and IT Consulting","""type of company"""
"Altimetrik","Software Development","""type of company"""
"Altiris","Software Development","""type of company"""
"Altius","Law Practice","""type of company"""
"Altova","Software Development","""type of company"""
"Altran","IT Services and IT Consulting","""type of company"""
"Amadeus","IT Services and IT Consulting","""type of company"""
"Amaze","Human Resources Services","""type of company"""
"Ambient","Graphic Design","""type of company"""
"Ambrosial","Civic and Social Organizations","""type of company"""
"AMC","Hospitals and Health Care","""type of company"""
"AMD","Semiconductor Manufacturing","""type of company"""
"Amdocs","Telecommunications","""type of company"""
"Amazon","Technology ,Retail,Media","""type of company"""
"Amex","Hospitals and Health Care","""type of company"""
"Amgen","Biotechnology Research","""type of company"""
"Amiga","Software Development","""type of company"""
"Amiworks","IT Services and IT Consulting","""type of company"""
"AMK","IT Services and IT Consulting","""type of company"""
"Amone","Financial Services","""type of company"""
"AMSS","Construction","""type of company"""
"AMT","Telecommunications","""type of company"""
"Amura","IT Services and IT Consulting","""type of company"""
"Amway","Manufacturing","""type of company"""
"ANALOG","Technology, Information and Internet","""type of company"""
"ANALOG","Technology, Information and Internet","""type of company"""
"Anaqua","Software Development","""type of company"""
"ANAQUA","Software Development","""type of company"""
"Anesthesia","Braine-l'Alleud","""type of company"""
"Anibrain","Movies, Videos, and Sound","""type of company"""
"ANIMOTIONSZ","Design Services","""type of company"""
"Anka","IT Services and IT Consulting","""type of company"""
"ANNOVA","Advertising Services","""type of company"""
"ANR","Government Administration","""type of company"""
"ANSR","Computers and Electronics Manufacturing","""type of company"""
"Antasoft","IT Services and IT Consulting","""type of company"""
"Antifragile","Business Consulting and Services","""type of company"""
"Anutham","Consumer Services","""type of company"""
"AnyLinuxwork","IT Services and IT Consulting","""type of company"""
"ANZ","Banking","""type of company"""
"Aon","Financial Services","""type of company"""
"Apar","Advertising Services","""type of company"""
"Aperto","Medical Equipment Manufacturing","""type of company"""
"Apna","Non-profit Organizations","""type of company"""
"AppCloud","Facilities Services","""type of company"""
"AppDirect","IT Services and IT Consulting","""type of company"""
"Appeal","Computer Games","""type of company"""
"APPIC","Software Development","""type of company"""
"Appnexus","Technology, Information and Internet","""type of company"""
"APPNINGS","IT Services and IT Consulting","""type of company"""
"Appon","Strategic Management Services","""type of company"""
"Apprisia","IT Services and IT Consulting","""type of company"""
"Approutes","Technology, Information and Internet","""type of company"""
"Appsolute","IT Services and IT Consulting","""type of company"""
"Appsplanet","Consumer Services","""type of company"""
"AppsWorld","Strategic Management Services","""type of company"""
"Apptix","IT Services and IT Consulting","""type of company"""
"APRG","Human Resources Services","""type of company"""
"APSAC","Paris, �ledefrance","""type of company"""
"aptlogica","IT Services and IT Consulting","""type of company"""
"Aptron","Software Development","""type of company"""
"Aqua","Software Development","""type of company"""
"Aramark","Hospitality","""type of company"""
"Aramco","Oil and Gas","""type of company"""
"Aramex","Transportation, Logistics, Supply Chain and Storage","""type of company"""
"Arctern","IT Services and IT Consulting","""type of company"""
"Arden","Birmingham","""type of company"""
"Ardent","Banking","""type of company"""
"Aress","London","""type of company"""
"ARESS","London","""type of company"""
"Arezzo","Lede","""type of company"""
"Argo","Software Development","""type of company"""
"Argyle","IT Services and IT Consulting","""type of company"""
"Arich","IT Services and IT Consulting","""type of company"""
"Arinex","Architecture and Planning","""type of company"""
"Arista","Wellness and Fitness Services","""type of company"""
"Armais","Business Consulting and Services","""type of company"""
"Arqiva","Telecommunications","""type of company"""
"Arris","Telecommunications","""type of company"""
"ARSYS","Investment Banking","""type of company"""
"Art","Artists and Writers","""type of company"""
"Artisan","Staffing and Recruiting","""type of company"""
"Arvato","Outsourcing and Offshoring Consulting","""type of company"""
"Arxxus","IT Services and IT Consulting","""type of company"""
"ASC","Mining","""type of company"""
"Ascendas","Real Estate","""type of company"""
"ASCENDUM","Machinery Manufacturing","""type of company"""
"Ashapura","Construction","""type of company"""
"Ashtech","Appliances, Electrical, and Electronics Manufacturing","""type of company"""
"Asit","Non-profit Organizations","""type of company"""
"Assent","Grobbendonk","""type of company"""
"Assetsoft","IT Services and IT Consulting","""type of company"""
"Assicurazioni","IT Services and IT Consulting","""type of company"""
"Assiduz","IT Services and IT Consulting","""type of company"""
"Assurant","Insurance","""type of company"""
"AssureCare","Insurance","""type of company"""
"Aster","Telecommunications","""type of company"""
"AstraZeneca","Pharmaceutical Manufacturing","""type of company"""
"Astri","IT Services and IT Consulting","""type of company"""
"ATCS","Legal Services","""type of company"""
"ATH","Travel Arrangements","""type of company"""
"Athenahealth","IT Services and IT Consulting","""type of company"""
"Athletenetwork","Software Development","""type of company"""
"Athpro","Food and Beverage Services","""type of company"""
"Atlantis","Advertising Services","""type of company"""
"Atlassian","Software Development","""type of company"""
"atos","IT Services and IT Consulting","""type of company"""
"ATT","Telecommunications","""type of company"""
"Attagis","Technology, Information and Media","""type of company"""
"ATZ","Public Relations and Communications Services","""type of company"""
"Augmentastic","IT Services and IT Consulting","""type of company"""
"Augusoft","Higher Education","""type of company"""
"Aumtech","Public Policy Offices","""type of company"""
"Aureus","Travel Arrangements","""type of company"""
"Aurigo","Software Development","""type of company"""
"Aurochs","Software Development","""type of company"""
"Austere","Furniture and Home Furnishings Manufacturing","""type of company"""
"Authorcafe","Writing and Editing","""type of company"""
"AutoData","Motor Vehicle Manufacturing","""type of company"""
"Autodesk","Software Development","""type of company"""
"AutoFlow","Motor Vehicle Manufacturing","""type of company"""
"Autogen","Machinery Manufacturing","""type of company"""
"AUTOLIV","Motor Vehicle Manufacturing","""type of company"""
"AUTONATION","Motor Vehicle Manufacturing","""type of company"""
