,Destination,Relation,_,Source
1248, Probability & Statistics,Skill,,Senior Analyst
1249, Problem Solving,Skill,,Senior Analyst
1250, Product Design,Skill,,Senior Analyst
1251, Programming Principles,Skill,,Senior Analyst
1252, Project Management,Skill,,Senior Analyst
1253, R Programming,Skill,,Senior Analyst
1254, Research and Design,Skill,,Senior Analyst
1255, SQL,Skill,,Senior Analyst
1256, Security,Skill,,Senior Analyst
1257, Security Engineering,Skill,,Senior Analyst
1258, Security Strategy,Skill,,Senior Analyst
1259, Small Data,Skill,,Senior Analyst
1260, Software Engineering,Skill,,Senior Analyst
1261, Software Security,Skill,,Senior Analyst
1262, Spreadsheet Software,Skill,,Senior Analyst
1263, Statistical Analysis,Skill,,Senior Analyst
1264, Statistical Programming,Skill,,Senior Analyst
1265, Storytelling,Skill,,Senior Analyst
1266, Strategy and Operations,Skill,,Senior Analyst
1267, Theoretical Computer Science,Skill,,Senior Analyst
1268, Visual Design,Skill,,Senior Analyst
1269, Web Development,Skill,,Senior Analyst
1270, Accounting,Skill,,Senior Analyst
1271, Analysis,Skill,,Senior Analyst
1272, Big Data,Skill,,Senior Analyst
1273, Business Analysis,Skill,,Senior Analyst
1274, Business Analytics,Skill,,Senior Analyst
1275, Business Psychology,Skill,,Senior Analyst
1276, Collaboration,Skill,,Senior Analyst
1277, Communication,Skill,,Senior Analyst
1278, Computational Logic,Skill,,Senior Analyst
1279, Computer Programming,Skill,,Senior Analyst
1280, Computer Programming Tools,Skill,,Senior Analyst
1281, Customer Analysis,Skill,,Senior Analyst
1282, Data Analysis,Skill,,Senior Analyst
1283, Data Analysis Software,Skill,,Senior Analyst
1284, Data Management,Skill,,Senior Analyst
1285, Data Structures,Skill,,Senior Analyst
1286, Decision Making,Skill,,Senior Analyst
1287, Entrepreneurship,Skill,,Senior Analyst
1288, Financial Accounting,Skill,,Senior Analyst
1289, Financial Analysis,Skill,,Senior Analyst
1290, Forecasting,Skill,,Senior Analyst
1291, General Statistics,Skill,,Senior Analyst
1292, Human Resources,Skill,,Senior Analyst
1293, Leadership and Management,Skill,,Senior Analyst
1294, Marketing,Skill,,Senior Analyst
1295, Mathematical Theory & Analysis,Skill,,Senior Analyst
1296, Mathematics,Skill,,Senior Analyst
1297, Microsoft Excel,Skill,,Senior Analyst
1298, Network Analysis,Skill,,Senior Analyst
1299, People Analysis,Skill,,Senior Analyst
1300, People Development,Skill,,Senior Analyst
1301, Performance,Skill,,Senior Analyst
1302, Performance Management,Skill,,Senior Analyst
1303, Predictive Analytics,Skill,,Senior Analyst
1304, Probability & Statistics,Skill,,Senior Analyst
1305, Regression,Skill,,Senior Analyst
1306, Regression Analysis,Skill,,Senior Analyst
1307, Sales,Skill,,Senior Analyst
1308, Spreadsheet Software,Skill,,Senior Analyst
1309, Statistical Analysis,Skill,,Senior Analyst
1310, Strategy,Skill,,Senior Analyst
1311, Strategy and Operations,Skill,,Senior Analyst
1312, Talent Management,Skill,,Senior Analyst
1313, Theoretical Computer Science,Skill,,Senior Analyst
1314, Business Analysis,Skill,,Senior Analyst
1315, Strategy and Operations,Skill,,Senior Analyst
1316, Entrepreneurship,Skill,,Senior Analyst
1317, Business Process Management,Skill,,Senior Analyst
1318, Analysis,Skill,,Senior Analyst
1319, Process,Skill,,Senior Analyst
1320, Business Process,Skill,,Senior Analyst
1321, Process Analysis,Skill,,Senior Analyst
1322, Algorithms,Skill,,Senior Analyst
1323, Application Development,Skill,,Senior Analyst
1324, Bias,Skill,,Senior Analyst
1325, Big Data,Skill,,Senior Analyst
1326, Budget Management,Skill,,Senior Analyst
1327, Business Analysis,Skill,,Senior Analyst
1328, Business Communication,Skill,,Senior Analyst
1329, Change Management,Skill,,Senior Analyst
1330, Cloud Computing,Skill,,Senior Analyst
1331, Communication,Skill,,Senior Analyst
1332, Computational Logic,Skill,,Senior Analyst
1333, Computer Architecture,Skill,,Senior Analyst
1334, Computer Networking,Skill,,Senior Analyst
1335, Computer Programming,Skill,,Senior Analyst
1336, Computer Programming Tools,Skill,,Senior Analyst
1337, Cryptography,Skill,,Senior Analyst
1338, Data Analysis,Skill,,Senior Analyst
1339, Data Analysis Software,Skill,,Senior Analyst
1340, Data Management,Skill,,Senior Analyst
1341, Data Mining,Skill,,Senior Analyst
1342, Data Model,Skill,,Senior Analyst
1343, Data Structures,Skill,,Senior Analyst
1344, Data Visualization,Skill,,Senior Analyst
1345, Data Visualization Software,Skill,,Senior Analyst
1346, Database Administration,Skill,,Senior Analyst
1347, Database Design,Skill,,Senior Analyst
1348, Databases,Skill,,Senior Analyst
1349, Decision Making,Skill,,Senior Analyst
1350, Design and Product,Skill,,Senior Analyst
1351, Distributed Computing Architecture,Skill,,Senior Analyst
1352, Entrepreneurship,Skill,,Senior Analyst
1353, Extract,Skill,,Senior Analyst
1354, Transform,Skill,,Senior Analyst
1355, Load,Skill,,Senior Analyst
1356, Feature Engineering,Skill,,Senior Analyst
1357, Finance,Skill,,Senior Analyst
1358, Financial Analysis,Skill,,Senior Analyst
1359, Full-Stack Web Development,Skill,,Senior Analyst
1360, General Statistics,Skill,,Senior Analyst
1361, Interactive Data Visualization,Skill,,Senior Analyst
1362, Leadership and Management,Skill,,Senior Analyst
1363, Machine Learning,Skill,,Senior Analyst
1364, Mathematical Theory & Analysis,Skill,,Senior Analyst
1365, Mathematics,Skill,,Senior Analyst
1366, Network Security,Skill,,Senior Analyst
1367, Other Programming Languages,Skill,,Senior Analyst
1368, Plot (Graphics),Skill,,Senior Analyst
1369, Privacy,Skill,,Senior Analyst
1370, Probability & Statistics,Skill,,Senior Analyst
1371, Problem Solving,Skill,,Senior Analyst
1372, Product Design,Skill,,Senior Analyst
1373, Programming Principles,Skill,,Senior Analyst
1374, Project Management,Skill,,Senior Analyst
1375, R Programming,Skill,,Senior Analyst
1376, Research and Design,Skill,,Senior Analyst
1377, SQL,Skill,,Senior Analyst
1378, Security,Skill,,Senior Analyst
1379, Security Engineering,Skill,,Senior Analyst
1380, Security Strategy,Skill,,Senior Analyst
1381, Small Data,Skill,,Senior Analyst
1382, Software Engineering,Skill,,Senior Analyst
1383, Software Security,Skill,,Senior Analyst
1384, Spreadsheet Software,Skill,,Senior Analyst
1385, Statistical Analysis,Skill,,Senior Analyst
1386, Statistical Programming,Skill,,Senior Analyst
1387, Storytelling,Skill,,Senior Analyst
1388, Strategy and Operations,Skill,,Senior Analyst
1389, Theoretical Computer Science,Skill,,Senior Analyst
1390, Visual Design,Skill,,Senior Analyst
1391, Web Development,Skill,,Senior Analyst
1392, Accounting,Skill,,Senior Analyst
1393, Analysis,Skill,,Senior Analyst
1394, Big Data,Skill,,Senior Analyst
1395, Business Analysis,Skill,,Senior Analyst
1396, Business Analytics,Skill,,Senior Analyst
1397, Business Psychology,Skill,,Senior Analyst
1398, Collaboration,Skill,,Senior Analyst
1399, Communication,Skill,,Senior Analyst
1400, Computational Logic,Skill,,Senior Analyst
1401, Computer Programming,Skill,,Senior Analyst
1402, Computer Programming Tools,Skill,,Senior Analyst
1403, Customer Analysis,Skill,,Senior Analyst
1404, Data Analysis,Skill,,Senior Analyst
1405, Data Analysis Software,Skill,,Senior Analyst
1406, Data Management,Skill,,Senior Analyst
1407, Data Structures,Skill,,Senior Analyst
1408, Decision Making,Skill,,Senior Analyst
1409, Entrepreneurship,Skill,,Senior Analyst
1410, Financial Accounting,Skill,,Senior Analyst
1411, Financial Analysis,Skill,,Senior Analyst
1412, Forecasting,Skill,,Senior Analyst
1413, General Statistics,Skill,,Senior Analyst
1414, Human Resources,Skill,,Senior Analyst
1415, Leadership and Management,Skill,,Senior Analyst
1416, Marketing,Skill,,Senior Analyst
1417, Mathematical Theory & Analysis,Skill,,Senior Analyst
1418, Mathematics,Skill,,Senior Analyst
1419, Microsoft Excel,Skill,,Senior Analyst
1420, Network Analysis,Skill,,Senior Analyst
1421, People Analysis,Skill,,Senior Analyst
1422, People Development,Skill,,Senior Analyst
1423, Performance,Skill,,Senior Analyst
1424, Performance Management,Skill,,Senior Analyst
1425, Predictive Analytics,Skill,,Senior Analyst
1426, Probability & Statistics,Skill,,Senior Analyst
1427, Regression,Skill,,Senior Analyst
1428, Regression Analysis,Skill,,Senior Analyst
1429, Sales,Skill,,Senior Analyst
1430, Spreadsheet Software,Skill,,Senior Analyst
1431, Statistical Analysis,Skill,,Senior Analyst
1432, Strategy,Skill,,Senior Analyst
1433, Strategy and Operations,Skill,,Senior Analyst
1434, Talent Management,Skill,,Senior Analyst
1435, Theoretical Computer Science,Skill,,Senior Analyst
1436, Agile Software Development,Skill,,Senior Software Eng
1437, Algorithms,Skill,,Senior Software Eng
1438, Application Development,Skill,,Senior Software Eng
1439, BlockChain,Skill,,Senior Software Eng
1440, Cloud Computing,Skill,,Senior Software Eng
1441, Cloud Infrastructure,Skill,,Senior Software Eng
1442, Cloud Platforms,Skill,,Senior Software Eng
1443, Cloud Storage,Skill,,Senior Software Eng
1444, Collaboration,Skill,,Senior Software Eng
1445, Communication,Skill,,Senior Software Eng
1446, Computational Logic,Skill,,Senior Software Eng
1447, Computer Architecture,Skill,,Senior Software Eng
1448, Computer Graphics,Skill,,Senior Software Eng
1449, Computer Networking,Skill,,Senior Software Eng
1450, Computer Programming,Skill,,Senior Software Eng
1451, Computer Programming Tools,Skill,,Senior Software Eng
1452, Continuous Delivery,Skill,,Senior Software Eng
1453, Continuous Integration,Skill,,Senior Software Eng
1454, Data Management,Skill,,Senior Software Eng
1455, Design and Product,Skill,,Senior Software Eng
1456, DevOps,Skill,,Senior Software Eng
1457, Distributed Computing Architecture,Skill,,Senior Software Eng
1458, Entrepreneurship,Skill,,Senior Software Eng
1459, Extract,Skill,,Senior Software Eng
1460, Transform,Skill,,Senior Software Eng
1461, Load,Skill,,Senior Software Eng
1462, Finance,Skill,,Senior Software Eng
1463, Full-Stack Web Development,Skill,,Senior Software Eng
1464, Human Computer Interaction,Skill,,Senior Software Eng
1465, IBM Cloud,Skill,,Senior Software Eng
1466, Interactive Design,Skill,,Senior Software Eng
1467, Journalism,Skill,,Senior Software Eng
1468, Kubernetes,Skill,,Senior Software Eng
1469, Leadership and Management,Skill,,Senior Software Eng
1470, Mathematical Theory & Analysis,Skill,,Senior Software Eng
1471, Mathematics,Skill,,Senior Software Eng
1472, Network Architecture,Skill,,Senior Software Eng
1473, Network Security,Skill,,Senior Software Eng
1474, Operating Systems,Skill,,Senior Software Eng
1475, Planning,Skill,,Senior Software Eng
1476, Product Design,Skill,,Senior Software Eng
1477, Product Development,Skill,,Senior Software Eng
1478, Programming Principles,Skill,,Senior Software Eng
1479, Project Management,Skill,,Senior Software Eng
1480, Python Programming,Skill,,Senior Software Eng
1481, Security Engineering,Skill,,Senior Software Eng
1482, Software Architecture,Skill,,Senior Software Eng
1483, Software As A Service,Skill,,Senior Software Eng
1484, Software Engineering,Skill,,Senior Software Eng
1485, Software Engineering Tools,Skill,,Senior Software Eng
1486, Software Framework,Skill,,Senior Software Eng
1487, Software Testing,Skill,,Senior Software Eng
1488, Statistical Programming,Skill,,Senior Software Eng
1489, Strategy and Operations,Skill,,Senior Software Eng
1490, Supply Chain and Logistics,Skill,,Senior Software Eng
1491, System Programming,Skill,,Senior Software Eng
1492, Systems Design,Skill,,Senior Software Eng
1493, Theoretical Computer Science,Skill,,Senior Software Eng
1494, Web Development,Skill,,Senior Software Eng
1495, Algorithms,Skill,,Senior Software Eng
1496, Application Development,Skill,,Senior Software Eng
1497, Communication,Skill,,Senior Software Eng
1498, Computational Logic,Skill,,Senior Software Eng
1499, Computer Architecture,Skill,,Senior Software Eng
1500, Computer Programming,Skill,,Senior Software Eng
1501, Computer Programming Tools,Skill,,Senior Software Eng
1502, Data Management,Skill,,Senior Software Eng
1503, Data Structures,Skill,,Senior Software Eng
1504, Front-End Web Development,Skill,,Senior Software Eng
1505, HTML and CSS,Skill,,Senior Software Eng
1506, Hardware Design,Skill,,Senior Software Eng
1507, Human Computer Interaction,Skill,,Senior Software Eng
1508, Javascript,Skill,,Senior Software Eng
1509, Journalism,Skill,,Senior Software Eng
1510, Mathematical Theory & Analysis,Skill,,Senior Software Eng
1511, Mathematics,Skill,,Senior Software Eng
1512, Mobile Development,Skill,,Senior Software Eng
1513, Mobile Development Tools,Skill,,Senior Software Eng
1514, Operations Research,Skill,,Senior Software Eng
1515, Other Web Frameworks,Skill,,Senior Software Eng
1516, Programming Principles,Skill,,Senior Software Eng
1517, React (web framework),Skill,,Senior Software Eng
1518, Research and Design,Skill,,Senior Software Eng
1519, Software Architecture,Skill,,Senior Software Eng
1520, Software Engineering,Skill,,Senior Software Eng
1521, Software Engineering Tools,Skill,,Senior Software Eng
1522, Software Testing,Skill,,Senior Software Eng
1523, Strategy and Operations,Skill,,Senior Software Eng
1524, Theoretical Computer Science,Skill,,Senior Software Eng
1525, User Experience,Skill,,Senior Software Eng
1526, Web Design,Skill,,Senior Software Eng
1527, Web Development,Skill,,Senior Software Eng
1528, Application Development,Skill,,Senior Software Eng
1529, Back-End Web Development,Skill,,Senior Software Eng
1530, BlockChain,Skill,,Senior Software Eng
1531, Cloud Applications,Skill,,Senior Software Eng
1532, Cloud Computing,Skill,,Senior Software Eng
1533, Cloud Foundry,Skill,,Senior Software Eng
1534, Cloud Infrastructure,Skill,,Senior Software Eng
1535, Cloud Platforms,Skill,,Senior Software Eng
1536, Cloud Storage,Skill,,Senior Software Eng
1537, Computational Logic,Skill,,Senior Software Eng
1538, Computer Architecture,Skill,,Senior Software Eng
1539, Computer Graphics,Skill,,Senior Software Eng
1540, Computer Networking,Skill,,Senior Software Eng
1541, Computer Programming,Skill,,Senior Software Eng
1542, Computer Programming Tools,Skill,,Senior Software Eng
1543, Continuous Delivery,Skill,,Senior Software Eng
1544, Continuous Integration,Skill,,Senior Software Eng
1545, Data Management,Skill,,Senior Software Eng
1546, Database Administration,Skill,,Senior Software Eng
1547, Database Application,Skill,,Senior Software Eng
1548, Database Design,Skill,,Senior Software Eng
1549, Databases,Skill,,Senior Software Eng
1550, DevOps,Skill,,Senior Software Eng
1551, Devops Tools,Skill,,Senior Software Eng
1552, Distributed Computing Architecture,Skill,,Senior Software Eng
1553, Extract,Skill,,Senior Software Eng
1554, Transform,Skill,,Senior Software Eng
1555, Load,Skill,,Senior Software Eng
1556, Finance,Skill,,Senior Software Eng
1557, Front-End Web Development,Skill,,Senior Software Eng
1558, Full-Stack Web Development,Skill,,Senior Software Eng
1559, Github,Skill,,Senior Software Eng
1560, HTML and CSS,Skill,,Senior Software Eng
1561, Human Computer Interaction,Skill,,Senior Software Eng
1562, IBM Cloud,Skill,,Senior Software Eng
1563, Interactive Design,Skill,,Senior Software Eng
1564, Javascript,Skill,,Senior Software Eng
1565, Kubernetes,Skill,,Senior Software Eng
1566, Mathematical Theory & Analysis,Skill,,Senior Software Eng
1567, Mathematics,Skill,,Senior Software Eng
1568, Network Architecture,Skill,,Senior Software Eng
1569, Network Security,Skill,,Senior Software Eng
1570, NoSQL,Skill,,Senior Software Eng
1571, Operating Systems,Skill,,Senior Software Eng
1572, Other Web Frameworks,Skill,,Senior Software Eng
1573, Python Programming,Skill,,Senior Software Eng
1574, React (web framework),Skill,,Senior Software Eng
1575, SQL,Skill,,Senior Software Eng
1576, Security Engineering,Skill,,Senior Software Eng
1577, Software,Skill,,Senior Software Eng
1578, Software Architecture,Skill,,Senior Software Eng
1579, Software As A Service,Skill,,Senior Software Eng
1580, Software Engineering,Skill,,Senior Software Eng
1581, Software Framework,Skill,,Senior Software Eng
1582, Software Testing,Skill,,Senior Software Eng
1583, Statistical Programming,Skill,,Senior Software Eng
1584, System Programming,Skill,,Senior Software Eng
1585, Systems Design,Skill,,Senior Software Eng
1586, Theoretical Computer Science,Skill,,Senior Software Eng
1587, Web Design,Skill,,Senior Software Eng
1588, Web Development,Skill,,Senior Software Eng
1589, Web Development Tools,Skill,,Senior Software Eng
1590, Agile Software Development,Skill,,Senior Software Engineer
1591, Algorithms,Skill,,Senior Software Engineer
1592, Application Development,Skill,,Senior Software Engineer
1593, BlockChain,Skill,,Senior Software Engineer
1594, Cloud Computing,Skill,,Senior Software Engineer
1595, Cloud Infrastructure,Skill,,Senior Software Engineer
1596, Cloud Platforms,Skill,,Senior Software Engineer
1597, Cloud Storage,Skill,,Senior Software Engineer
1598, Collaboration,Skill,,Senior Software Engineer
1599, Communication,Skill,,Senior Software Engineer
1600, Computational Logic,Skill,,Senior Software Engineer
1601, Computer Architecture,Skill,,Senior Software Engineer
1602, Computer Graphics,Skill,,Senior Software Engineer
1603, Computer Networking,Skill,,Senior Software Engineer
1604, Computer Programming,Skill,,Senior Software Engineer
1605, Computer Programming Tools,Skill,,Senior Software Engineer
1606, Continuous Delivery,Skill,,Senior Software Engineer
1607, Continuous Integration,Skill,,Senior Software Engineer
1608, Data Management,Skill,,Senior Software Engineer
1609, Design and Product,Skill,,Senior Software Engineer
1610, DevOps,Skill,,Senior Software Engineer
1611, Distributed Computing Architecture,Skill,,Senior Software Engineer
1612, Entrepreneurship,Skill,,Senior Software Engineer
1613, Extract,Skill,,Senior Software Engineer
1614, Transform,Skill,,Senior Software Engineer
1615, Load,Skill,,Senior Software Engineer
1616, Finance,Skill,,Senior Software Engineer
1617, Full-Stack Web Development,Skill,,Senior Software Engineer
1618, Human Computer Interaction,Skill,,Senior Software Engineer
1619, IBM Cloud,Skill,,Senior Software Engineer
1620, Interactive Design,Skill,,Senior Software Engineer
1621, Journalism,Skill,,Senior Software Engineer
1622, Kubernetes,Skill,,Senior Software Engineer
1623, Leadership and Management,Skill,,Senior Software Engineer
1624, Mathematical Theory & Analysis,Skill,,Senior Software Engineer
1625, Mathematics,Skill,,Senior Software Engineer
1626, Network Architecture,Skill,,Senior Software Engineer
1627, Network Security,Skill,,Senior Software Engineer
1628, Operating Systems,Skill,,Senior Software Engineer
1629, Planning,Skill,,Senior Software Engineer
1630, Product Design,Skill,,Senior Software Engineer
1631, Product Development,Skill,,Senior Software Engineer
1632, Programming Principles,Skill,,Senior Software Engineer
1633, Project Management,Skill,,Senior Software Engineer
1634, Python Programming,Skill,,Senior Software Engineer
1635, Security Engineering,Skill,,Senior Software Engineer
1636, Software Architecture,Skill,,Senior Software Engineer
1637, Software As A Service,Skill,,Senior Software Engineer
1638, Software Engineering,Skill,,Senior Software Engineer
1639, Software Engineering Tools,Skill,,Senior Software Engineer
1640, Software Framework,Skill,,Senior Software Engineer
1641, Software Testing,Skill,,Senior Software Engineer
1642, Statistical Programming,Skill,,Senior Software Engineer
1643, Strategy and Operations,Skill,,Senior Software Engineer
1644, Supply Chain and Logistics,Skill,,Senior Software Engineer
1645, System Programming,Skill,,Senior Software Engineer
1646, Systems Design,Skill,,Senior Software Engineer
1647, Theoretical Computer Science,Skill,,Senior Software Engineer
1648, Web Development,Skill,,Senior Software Engineer
1649, Data Structures and Algorithms,Skill,,Senior Software Engineer
1650, Application Development,Skill,,Senior Software Engineer
1651, Communication,Skill,,Senior Software Engineer
1652, Computational Logic,Skill,,Senior Software Engineer
1653, Computer Architecture,Skill,,Senior Software Engineer
1654, Computer Programming,Skill,,Senior Software Engineer
1655, Computer Programming Tools,Skill,,Senior Software Engineer
1656, Data Management,Skill,,Senior Software Engineer
1657, Data Structures,Skill,,Senior Software Engineer
1658, Front-End Web Development,Skill,,Senior Software Engineer
1659, HTML and CSS,Skill,,Senior Software Engineer
1660, Hardware Design,Skill,,Senior Software Engineer
1661, Human Computer Interaction,Skill,,Senior Software Engineer
1662, Javascript,Skill,,Senior Software Engineer
1663, Journalism,Skill,,Senior Software Engineer
1664, Mathematical Theory & Analysis,Skill,,Senior Software Engineer
1665, Mathematics,Skill,,Senior Software Engineer
1666, Mobile Development,Skill,,Senior Software Engineer
1667, Mobile Development Tools,Skill,,Senior Software Engineer
1668, Operations Research,Skill,,Senior Software Engineer
1669, Other Web Frameworks,Skill,,Senior Software Engineer
1670, Programming Principles,Skill,,Senior Software Engineer
1671, React (web framework),Skill,,Senior Software Engineer
1672, Research and Design,Skill,,Senior Software Engineer
1673, Software Architecture,Skill,,Senior Software Engineer
1674, Time management,Skill,,Senior Software Engineer
1675, Software Engineering Tools,Skill,,Senior Software Engineer
1676, Software Testing,Skill,,Senior Software Engineer
1677, Strategy and Operations,Skill,,Senior Software Engineer
1678, Theoretical Computer Science,Skill,,Senior Software Engineer
1679, User Experience,Skill,,Senior Software Engineer
1680, Web Design,Skill,,Senior Software Engineer
1681, Web Development,Skill,,Senior Software Engineer
1682, Application Development,Skill,,Senior Software Engineer
1683, Back-End Web Development,Skill,,Senior Software Engineer
1684, BlockChain,Skill,,Senior Software Engineer
1685, Cloud Applications,Skill,,Senior Software Engineer
1686, Cloud Computing,Skill,,Senior Software Engineer
1687, Cloud Foundry,Skill,,Senior Software Engineer
1688, Cloud Infrastructure,Skill,,Senior Software Engineer
1689, Cloud Platforms,Skill,,Senior Software Engineer
1690, Cloud Storage,Skill,,Senior Software Engineer
1691, Computational Logic,Skill,,Senior Software Engineer
1692, Computer Architecture,Skill,,Senior Software Engineer
1693, Computer Graphics,Skill,,Senior Software Engineer
1694, Computer Networking,Skill,,Senior Software Engineer
1695, Computer Programming,Skill,,Senior Software Engineer
1696, Computer Programming Tools,Skill,,Senior Software Engineer
1697, Continuous Delivery,Skill,,Senior Software Engineer
1698, Continuous Integration,Skill,,Senior Software Engineer
1699, Data Management,Skill,,Senior Software Engineer
1700, Database Administration,Skill,,Senior Software Engineer
1701, Database Application,Skill,,Senior Software Engineer
1702, Database Design,Skill,,Senior Software Engineer
1703, Databases,Skill,,Senior Software Engineer
1704, DevOps,Skill,,Senior Software Engineer
1705, Devops Tools,Skill,,Senior Software Engineer
1706, Distributed Computing Architecture,Skill,,Senior Software Engineer
1707, Extract,Skill,,Senior Software Engineer
1708, Transform,Skill,,Senior Software Engineer
1709, Load,Skill,,Senior Software Engineer
1710, Finance,Skill,,Senior Software Engineer
1711, Front-End Web Development,Skill,,Senior Software Engineer
1712, Full-Stack Web Development,Skill,,Senior Software Engineer
1713, Github,Skill,,Senior Software Engineer
1714, HTML and CSS,Skill,,Senior Software Engineer
1715, Human Computer Interaction,Skill,,Senior Software Engineer
1716, IBM Cloud,Skill,,Senior Software Engineer
1717, Interactive Design,Skill,,Senior Software Engineer
1718, Javascript,Skill,,Senior Software Engineer
1719, Kubernetes,Skill,,Senior Software Engineer
1720, Mathematical Theory & Analysis,Skill,,Senior Software Engineer
1721, Mathematics,Skill,,Senior Software Engineer
1722, Network Architecture,Skill,,Senior Software Engineer
1723, Network Security,Skill,,Senior Software Engineer
1724, NoSQL,Skill,,Senior Software Engineer
1725, Operating Systems,Skill,,Senior Software Engineer
1726, Other Web Frameworks,Skill,,Senior Software Engineer
1727, Python Programming,Skill,,Senior Software Engineer
1728, React (web framework),Skill,,Senior Software Engineer
1729, SQL,Skill,,Senior Software Engineer
1730, Security Engineering,Skill,,Senior Software Engineer
1731, Application development in  Windows platform,Skill,,Senior Software Engineer
1732, Software Architecture,Skill,,Senior Software Engineer
1733, Software As A Service,Skill,,Senior Software Engineer
1734, Programming Languages,Skill,,Senior Software Engineer
1735, Software Frameworks,Skill,,Senior Software Engineer
1736, Software Testing,Skill,,Senior Software Engineer
1737, Statistical Programming,Skill,,Senior Software Engineer
1738, System Programming,Skill,,Senior Software Engineer
1739, Systems Design,Skill,,Senior Software Engineer
1740, Theoretical Computer Science,Skill,,Senior Software Engineer
1741, Web Design,Skill,,Senior Software Engineer
1742, Web Development,Skill,,Senior Software Engineer
1743, Web Development Tools,Skill,,Senior Software Engineer
1744, Agile Software Development,Skill,,Senior Software Engineer
1745, Algorithms,Skill,,Senior Software Engineer
1746, Application Development,Skill,,Senior Software Engineer
1747, BlockChain,Skill,,Senior Software Engineer
1748, Cloud Computing,Skill,,Senior Software Engineer
1749, Cloud Infrastructure,Skill,,Senior Software Engineer
1750, Cloud Platforms,Skill,,Senior Software Engineer
1751, Cloud Storage,Skill,,Senior Software Engineer
1752, Collaboration,Skill,,Senior Software Engineer
1753, Communication,Skill,,Senior Software Engineer
1754, Computational Logic,Skill,,Senior Software Engineer
1755, Computer Architecture,Skill,,Senior Software Engineer
1756, Computer Graphics,Skill,,Senior Software Engineer
1757, Computer Networking,Skill,,Senior Software Engineer
1758, Computer Programming,Skill,,Senior Software Engineer
1759, Computer Programming Tools,Skill,,Senior Software Engineer
1760, Continuous Delivery,Skill,,Senior Software Engineer
1761, Continuous Integration,Skill,,Senior Software Engineer
1762, Data Management,Skill,,Senior Software Engineer
1763, Design and Product,Skill,,Senior Software Engineer
1764, DevOps,Skill,,Senior Software Engineer
1765, Distributed Computing Architecture,Skill,,Senior Software Engineer
1766, Entrepreneurship,Skill,,Senior Software Engineer
1767, Extract,Skill,,Senior Software Engineer
1768, Transform,Skill,,Senior Software Engineer
1769, Load,Skill,,Senior Software Engineer
1770, Finance,Skill,,Senior Software Engineer
1771, Full-Stack Web Development,Skill,,Senior Software Engineer
1772, Human Computer Interaction,Skill,,Senior Software Engineer
1773, IBM Cloud,Skill,,Senior Software Engineer
1774, Interactive Design,Skill,,Senior Software Engineer
1775, Journalism,Skill,,Senior Software Engineer
1776, Kubernetes,Skill,,Senior Software Engineer
1777, Leadership and Management,Skill,,Senior Software Engineer
1778, Mathematical Theory & Analysis,Skill,,Senior Software Engineer
1779, Mathematics,Skill,,Senior Software Engineer
1780, Network Architecture,Skill,,Senior Software Engineer
1781, Network Security,Skill,,Senior Software Engineer
1782, Operating Systems,Skill,,Senior Software Engineer
1783, Planning,Skill,,Senior Software Engineer
1784, Product Design,Skill,,Senior Software Engineer
1785, Product Development,Skill,,Senior Software Engineer
1786, Programming Principles,Skill,,Senior Software Engineer
1787, Project Management,Skill,,Senior Software Engineer
1788, Python Programming,Skill,,Senior Software Engineer
1789, Security Engineering,Skill,,Senior Software Engineer
1790, Software Architecture,Skill,,Senior Software Engineer
1791, Software As A Service,Skill,,Senior Software Engineer
1792, Software Engineering,Skill,,Senior Software Engineer
1793, Software Engineering Tools,Skill,,Senior Software Engineer
1794, Software Framework,Skill,,Senior Software Engineer
1795, Software Testing,Skill,,Senior Software Engineer
1796, Statistical Programming,Skill,,Senior Software Engineer
1797, Strategy and Operations,Skill,,Senior Software Engineer
1798, Supply Chain and Logistics,Skill,,Senior Software Engineer
1799, System Programming,Skill,,Senior Software Engineer
1800, Systems Design,Skill,,Senior Software Engineer
1801, Theoretical Computer Science,Skill,,Senior Software Engineer
1802, Web Development,Skill,,Senior Software Engineer
1803, Algorithms,Skill,,Senior Software Engineer
1804, Application Development,Skill,,Senior Software Engineer
1805, Communication,Skill,,Senior Software Engineer
1806, Computational Logic,Skill,,Senior Software Engineer
1807, Computer Architecture,Skill,,Senior Software Engineer
1808, Computer Programming,Skill,,Senior Software Engineer
1809, Computer Programming Tools,Skill,,Senior Software Engineer
1810, Data Management,Skill,,Senior Software Engineer
1811, Data Structures,Skill,,Senior Software Engineer
1812, Front-End Web Development,Skill,,Senior Software Engineer
1813, HTML and CSS,Skill,,Senior Software Engineer
1814, Hardware Design,Skill,,Senior Software Engineer
1815, Human Computer Interaction,Skill,,Senior Software Engineer
1816, Javascript,Skill,,Senior Software Engineer
1817, Journalism,Skill,,Senior Software Engineer
1818, Mathematical Theory & Analysis,Skill,,Senior Software Engineer
1819, Mathematics,Skill,,Senior Software Engineer
1820, Mobile Development,Skill,,Senior Software Engineer
1821, Mobile Development Tools,Skill,,Senior Software Engineer
1822, Operations Research,Skill,,Senior Software Engineer
1823, Other Web Frameworks,Skill,,Senior Software Engineer
1824, Programming Principles,Skill,,Senior Software Engineer
1825, React (web framework),Skill,,Senior Software Engineer
1826, Research and Design,Skill,,Senior Software Engineer
