,Destination,Relation,_,Source
340,UI/UX design,Skill,,Front End Developer
341,React,Skill,,Front End Developer
342,JavaScript,Skill,,Front End Developer
343,Web Development Tools,Skill,,Front End Developer
344,User Interface,Skill,,Front End Developer
345,Cascading Style Sheets (CSS),Skill,,Front End Developer
346,HTML,Skill,,Front End Developer
347,UI/UX design,Skill,,Front End Developer
348,React,Skill,,Front End Developer
349,JavaScript,Skill,,Front End Developer
350,Web Development Tools,Skill,,Front End Developer
351,User Interface,Skill,,Front End Developer
352,Front-End Web Development,Skill,,Front End Developer
353,HTML and CSS,Skill,,Front End Developer
354,Responsive Web Design,Skill,,Front End Developer
355,Test-Driven Development,Skill,,Front End Developer
356,Object-Oriented Programming (OOP),Skill,,Front End Developer
357,User Experience (UX),Skill,,Front End Developer
358,UX Research,Skill,,Front End Developer
359,Wireframe,Skill,,Front End Developer
360,Prototype,Skill,,Front End Developer
361,User Experience Design (UXD),Skill,,Front End Developer
362,Usability Testing,Skill,,Front End Developer
363,mockup,Skill,,Front End Developer
364,Figma,Skill,,Front End Developer
365,Adobe XD,Skill,,Front End Developer
366,UX design jobs,Skill,,Front End Developer
367, Accounting,Skill,,Graduate engineer
368, Communication,Skill,,Graduate engineer
369, Cost,Skill,,Graduate engineer
370, Entrepreneurship,Skill,,Graduate engineer
371, Estimation,Skill,,Graduate engineer
372, Finance,Skill,,Graduate engineer
373, Generally Accepted Accounting Principles (GAAP),Skill,,Graduate engineer
374, Human Resources,Skill,,Graduate engineer
375, Leadership Development,Skill,,Graduate engineer
376, Leadership and Management,Skill,,Graduate engineer
377, Planning,Skill,,Graduate engineer
378, Probability & Statistics,Skill,,Graduate engineer
379, Procurement,Skill,,Graduate engineer
380, Project,Skill,,Graduate engineer
381, Project Management,Skill,,Graduate engineer
382, Project Planning,Skill,,Graduate engineer
383, Risk,Skill,,Graduate engineer
384, Risk Management,Skill,,Graduate engineer
385, Schedule,Skill,,Graduate engineer
386, Statistical Tests,Skill,,Graduate engineer
387, Strategy and Operations,Skill,,Graduate engineer
388, Supply Chain and Logistics,Skill,,Graduate engineer
389, Time Management,Skill,,Graduate engineer
390, Analysis,Skill,,HR
391, Benefits,Skill,,HR
392, Compensation,Skill,,HR
393, Employment,Skill,,HR
394, Entrepreneurship,Skill,,HR
395, Human Resources,Skill,,HR
396, Leadership,Skill,,HR
397, Leadership and Management,Skill,,HR
398, Marketing,Skill,,HR
399, Onboarding,Skill,,HR
400, People Management,Skill,,HR
401, Performance,Skill,,HR
402, Performance Management,Skill,,HR
403, Recruitment,Skill,,HR
404, Sales,Skill,,HR
405, Strategy,Skill,,HR
406, Strategy and Operations,Skill,,HR
407, Behavior,Skill,,HR
408, Brand,Skill,,HR
409, Business Psychology,Skill,,HR
410, Communication,Skill,,HR
411, Conflict Management,Skill,,HR
412, Culture,Skill,,HR
413, Entrepreneurship,Skill,,HR
414, Human Resources,Skill,,HR
415, Leadership and Management,Skill,,HR
416, Marketing,Skill,,HR
