,source,target
1058,Jijai,None
1059,Waraje,None
1060,krupa,None
1061,Mangalkaryalya,None
1062,Chandannagar,None
1063,KavatheMahanakal,None
1064,Soverign,None
1065,Zonasha,None
1066,Elegance,quality
1067,Harlur,None
1068,CHSL,None
1069,Onex,None
1070,Rajharsh,None
1071,263,None
1072,BENARAS,None
1073,DLF,None
1074,Karanjade,None
1075,BColony,None
1076,Vrundawan,None
1077,Munnekollal,None
1078,Tempo,musical_time
1079,Khetan,None
1080,Saidhan,None
1081,Karad,None
1082,DudhaneColony,None
1083,somaji,None
1084,Kavha,None
1085,Muktai,None
1086,Hos,metallic_element
1087,Kamgar,None
1088,Dhanmill,None
1089,DelisleRoad,None
1090,Flatno,None
1091,kalangut,None
1092,Netrakiran,None
1093,Hosp,None
1094,Shivprasta,None
1095,Vishnupuram,None
1096,NancyLakeHomes,None
1097,Bawadiyan,None
1098,Richland,None
1099,BSK,None
1100,Vatica Samata Nagar,None
